i: 0, threads: 1, time: 0.000022
i: 1, threads: 1, time: 0.000012
i: 2, threads: 1, time: 0.000012
i: 3, threads: 1, time: 0.000012
i: 4, threads: 1, time: 0.000011
i: 5, threads: 1, time: 0.000011
i: 6, threads: 1, time: 0.000011
i: 7, threads: 1, time: 0.000012
i: 8, threads: 1, time: 0.000014
i: 9, threads: 1, time: 0.000011
i: 0, threads: 2, time: 0.000144
i: 1, threads: 2, time: 0.000027
i: 2, threads: 2, time: 0.000030
i: 3, threads: 2, time: 0.000025
i: 4, threads: 2, time: 0.000027
i: 5, threads: 2, time: 0.000024
i: 6, threads: 2, time: 0.000024
i: 7, threads: 2, time: 0.000025
i: 8, threads: 2, time: 0.000025
i: 9, threads: 2, time: 0.000024
i: 0, threads: 3, time: 0.001326
i: 1, threads: 3, time: 0.000032
i: 2, threads: 3, time: 0.000030
i: 3, threads: 3, time: 0.000035
i: 4, threads: 3, time: 0.000027
i: 5, threads: 3, time: 0.000028
i: 6, threads: 3, time: 0.000026
i: 7, threads: 3, time: 0.000024
i: 8, threads: 3, time: 0.000034
i: 9, threads: 3, time: 0.000029
i: 0, threads: 4, time: 0.000145
i: 1, threads: 4, time: 0.000034
i: 2, threads: 4, time: 0.000034
i: 3, threads: 4, time: 0.000029
i: 4, threads: 4, time: 0.000029
i: 5, threads: 4, time: 0.000030
i: 6, threads: 4, time: 0.000030
i: 7, threads: 4, time: 0.000027
i: 8, threads: 4, time: 0.000030
i: 9, threads: 4, time: 0.000030
i: 0, threads: 5, time: 0.000130
i: 1, threads: 5, time: 0.000032
i: 2, threads: 5, time: 0.000032
i: 3, threads: 5, time: 0.000028
i: 4, threads: 5, time: 0.000030
i: 5, threads: 5, time: 0.000034
i: 6, threads: 5, time: 0.000030
i: 7, threads: 5, time: 0.000032
i: 8, threads: 5, time: 0.000030
i: 9, threads: 5, time: 0.000027
i: 0, threads: 6, time: 0.000130
i: 1, threads: 6, time: 0.000029
i: 2, threads: 6, time: 0.000028
i: 3, threads: 6, time: 0.000028
i: 4, threads: 6, time: 0.000028
i: 5, threads: 6, time: 0.000029
i: 6, threads: 6, time: 0.000028
i: 7, threads: 6, time: 0.000028
i: 8, threads: 6, time: 0.000027
i: 9, threads: 6, time: 0.000031
i: 0, threads: 7, time: 0.006452
i: 1, threads: 7, time: 0.000029
i: 2, threads: 7, time: 0.000033
i: 3, threads: 7, time: 0.000033
i: 4, threads: 7, time: 0.000034
i: 5, threads: 7, time: 0.000036
i: 6, threads: 7, time: 0.000029
i: 7, threads: 7, time: 0.000030
i: 8, threads: 7, time: 0.000028
i: 9, threads: 7, time: 0.000029
i: 0, threads: 8, time: 0.000155
i: 1, threads: 8, time: 0.000035
i: 2, threads: 8, time: 0.000031
i: 3, threads: 8, time: 0.000037
i: 4, threads: 8, time: 0.000029
i: 5, threads: 8, time: 0.000029
i: 6, threads: 8, time: 0.000024
i: 7, threads: 8, time: 0.000026
i: 8, threads: 8, time: 0.000028
i: 9, threads: 8, time: 0.000033
